"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"em 137 Loa 2023 - Custeio do Hospital Santa Lucind a para Cirurgia Ginecologica"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 138 Loa 2023-DESTINADA a Afissore-associacao do S Fissurados Labio Palatais de Sorocaba e Regiao"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 139 Loa 2023 - Incremento da Atencao a Saude da Populacao para Servicos no Gpaci"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 139 Loa 2024 - Custeio para Apeas - Associacao de Pais do Espectro Autista de Sorocaba"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 139 Loa 2025 - Custeio de Exames Cardiologicos para a Central de Regulacao de Vagas"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 14 Loa 2025 - Investimento a Santa Casa de Mise Ricordia"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 140 Loa 2023-INCREMENTO Atencao a Saude da Popu Lacao P/servicos no Mac-santa Casa de Misericordia"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 141 Loa 2023 - Destinada a Amde - Associacao Am Igos dos Deficientes"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 141 Loa 2024 - Custeio ao Grupo de Pesquisa e a Ssistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 142 Loa 2023 - Destinada a Asipeca - Associacao de Socorro Imediato a Pessoas Com Cancer"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 142 Loa 2024 - Custeio a Ibrapper"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 143 Loa 2023-AQUIS.EQUIPAMENTOS e Materiais Per Manentes P/ubss Mineirao, Laranjeiras e Vl.fiori"|"Secr.da Saude"|210000.00|148134.12
"Saude Publica de Qualidade e Eficaz"|"em 143 Loa 2024 - Custeio ao Hospital Santa Lucind"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 144 Loa 2024 - Custeio a Instituicao Terapeutic a de Grupos de Habilitacao e Reabilitacao-integrar"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 145 Loa 2023-AQUISICAO Implantes Anticoncepcion Ais,incremento Materiais e Insumos P/atencao Basic"|"Secr.da Saude"|130000.00|128777.00
"Saude Publica de Qualidade e Eficaz"|"em 145 Loa 2024 - Custeio a Associacao de Pais e a Migos dos Excepcionais de Sorocaba - Apae"|"Secr.da Saude"|80000.00|80000.00
"Saude Publica de Qualidade e Eficaz"|"em 146 Loa 2023 - Custeio de Prestador de Servicos para Cirurgia de Laqueadura"|"Secr.da Saude"|217379.50|217379.50
"Saude Publica de Qualidade e Eficaz"|"em 146 Loa 2025 - Custeio a Asipeca - Associacao D e Socorro Imediato a Pessoas Com Cancer e Autismo"|"Secr.da Saude"|130000.00|130000.00
"Saude Publica de Qualidade e Eficaz"|"em 147 Loa 2024 - Custeio a Associacao de Amigos D os Deficientes - Amide"|"Secr.da Saude"|30000.00|30000.00
